data,hora,t,prec,q_obs
10/25/2002,0.25,9339.5,0,0.102818321
10/25/2002,0.270833333,9340,0,0.102818321
10/25/2002,0.291666667,9340.5,0,0.103024905
10/25/2002,0.3125,9341,0,0.103024905
10/25/2002,0.333333333,9341.5,0,0.103024905
10/25/2002,0.354166667,9342,0,0.10363595
10/25/2002,0.375,9342.5,0,0.103844177
10/25/2002,0.395833333,9343,0,0.103844177
10/25/2002,0.416666667,9343.5,0,0.103844177
10/25/2002,0.4375,9344,0,0.103844177
10/25/2002,0.458333333,9344.5,0,0.103844177
10/25/2002,0.479166667,9345,0,0.103844177
10/25/2002,0.5,9345.5,0,0.103844177
10/25/2002,0.520833333,9346,0,0.103844177
10/25/2002,0.541666667,9346.5,0,0.103844177
10/25/2002,0.5625,9347,0,0.103844177
10/25/2002,0.583333333,9347.5,0,0.103844177
10/25/2002,0.604166667,9348,0,0.103844177
10/25/2002,0.625,9348.5,0,0.10343373
10/25/2002,0.645833333,9349,0,0.103024905
10/25/2002,0.666666667,9349.5,0,0.103024905
10/25/2002,0.6875,9350,0,0.103024905
10/25/2002,0.708333333,9350.5,0,0.102818321
10/25/2002,0.729166667,9351,0,0.102818321
10/25/2002,0.75,9351.5,0,0.102818321
10/25/2002,0.770833333,9352,0,0.102612151
10/25/2002,0.791666667,9352.5,0,0.102612151
10/25/2002,0.8125,9353,0,0.102612151
10/25/2002,0.833333333,9353.5,0,0.102411928
10/25/2002,0.854166667,9354,0,0.102612151
10/25/2002,0.875,9354.5,0,0.102612151
10/25/2002,0.895833333,9355,0,0.102612151
10/25/2002,0.916666667,9355.5,0,0.102612151
10/25/2002,0.9375,9356,0,0.102818321
10/25/2002,0.958333333,9356.5,0,0.102818321
10/25/2002,0.979166667,9357,0,0.103024905
10/25/2002,0,9357.5,0,0.103024905
10/25/2002,0.020833333,9358,0,0.103024905
10/25/2002,0.041666667,9358.5,0,0.103231904
10/25/2002,0.0625,9359,0,0.10343373
10/25/2002,0.083333333,9359.5,0,0.10363595
10/26/2002,0.104166667,9360,0,0.10363595
10/26/2002,0.125,9360.5,0,0.103844177
10/26/2002,0.145833333,9361,0,0.103844177
10/26/2002,0.166666667,9361.5,0,0.104256252
10/26/2002,0.1875,9362,0,0.104256252
10/26/2002,0.208333333,9362.5,0,0.104664307
10/26/2002,0.229166667,9363,0,0.1048746
10/26/2002,0.25,9363.5,0,0.1048746
10/26/2002,0.270833333,9364,0,0.1048746
10/26/2002,0.291666667,9364.5,0,0.1048746
10/26/2002,0.3125,9365,0,0.105085316
10/26/2002,0.333333333,9365.5,0,0.105085316
10/26/2002,0.354166667,9366,0,0.105085316
10/26/2002,0.375,9366.5,0,0.105296455
10/26/2002,0.395833333,9367,0,0.105296455
10/26/2002,0.416666667,9367.5,0,0.105296455
10/26/2002,0.4375,9368,0,0.105296455
10/26/2002,0.458333333,9368.5,2.5,0.106549194
10/26/2002,0.479166667,9369,0,0.107186934
10/26/2002,0.5,9369.5,0.1,0.107822664
10/26/2002,0.520833333,9370,0,0.108468026
10/26/2002,0.541666667,9370.5,0,0.109330582
10/26/2002,0.5625,9371,0.1,0.109979026
10/26/2002,0.583333333,9371.5,0,0.110853598
10/26/2002,0.604166667,9372,0,0.111070324
10/26/2002,0.625,9372.5,0,0.110853598
10/26/2002,0.645833333,9373,0,0.110637295
10/26/2002,0.666666667,9373.5,0,0.110194042
10/26/2002,0.6875,9374,0,0.109330582
10/26/2002,0.708333333,9374.5,0,0.109330582
10/26/2002,0.729166667,9375,0,0.108468026
10/26/2002,0.75,9375.5,0,0.108250527
10/26/2002,0.770833333,9376,0,0.107612274
10/26/2002,0.791666667,9376.5,0,0.107186934
10/26/2002,0.8125,9377,0,0.106972004
10/26/2002,0.833333333,9377.5,0,0.106757505
10/26/2002,0.854166667,9378,0,0.106757505
10/26/2002,0.875,9378.5,0,0.106757505
10/26/2002,0.895833333,9379,0,0.106543436
10/26/2002,0.916666667,9379.5,0,0.106335543
10/26/2002,0.9375,9380,0,0.106341289
10/26/2002,0.958333333,9380.5,0,0.106335543
10/26/2002,0.979166667,9381,0,0.106549194
10/26/2002,0,9381.5,0,0.106341289
10/26/2002,0.020833333,9382,0,0.106335543
10/26/2002,0.041666667,9382.5,0,0.106757505
10/26/2002,0.0625,9383,0,0.106549194
10/26/2002,0.083333333,9383.5,0,0.106757505
10/27/2002,0.104166667,9384,0,0.106757505
10/27/2002,0.125,9384.5,0,0.106757505
10/27/2002,0.145833333,9385,0,0.106757505
10/27/2002,0.166666667,9385.5,0,0.106757505
10/27/2002,0.1875,9386,0,0.106972004
10/27/2002,0.208333333,9386.5,0,0.106972004
10/27/2002,0.229166667,9387,0,0.106972004
10/27/2002,0.25,9387.5,0,0.107186934
10/27/2002,0.270833333,9388,0,0.107186934
10/27/2002,0.291666667,9388.5,0,0.107186934
10/27/2002,0.3125,9389,0,0.107186934
10/27/2002,0.333333333,9389.5,0,0.107186934
10/27/2002,0.354166667,9390,0,0.107186934
10/27/2002,0.375,9390.5,0,0.107186934
10/27/2002,0.395833333,9391,0,0.107402295
10/27/2002,0.416666667,9391.5,0,0.10761809
10/27/2002,0.4375,9392,0,0.107402295
10/27/2002,0.458333333,9392.5,0,0.107402295
10/27/2002,0.479166667,9393,0,0.107186934
10/27/2002,0.5,9393.5,0,0.107186934
10/27/2002,0.520833333,9394,0,0.107186934
10/27/2002,0.541666667,9394.5,0,0.106972004
10/27/2002,0.5625,9395,0,0.106972004
10/27/2002,0.583333333,9395.5,0,0.106757505
10/27/2002,0.604166667,9396,0,0.106757505
10/27/2002,0.625,9396.5,0,0.106341289
10/27/2002,0.645833333,9397,0,0.105920973
10/27/2002,0.666666667,9397.5,0,0.105708581
10/27/2002,0.6875,9398,0,0.105502317
10/27/2002,0.708333333,9398.5,0,0.105085316
10/27/2002,0.729166667,9399,0,0.105085316
10/27/2002,0.75,9399.5,0,0.1048746
10/27/2002,0.770833333,9400,0,0.1048746
10/27/2002,0.791666667,9400.5,0,0.1048746
10/27/2002,0.8125,9401,0,0.1048746
10/27/2002,0.833333333,9401.5,0,0.1048746
10/27/2002,0.854166667,9402,0,0.1048746
10/27/2002,0.875,9402.5,0,0.1048746
10/27/2002,0.895833333,9403,0,0.1048746
10/27/2002,0.916666667,9403.5,0,0.1048746
10/27/2002,0.9375,9404,0,0.1048746
10/27/2002,0.958333333,9404.5,0,0.1048746
10/27/2002,0.979166667,9405,0,0.105085316
